TimePeriod,DonorType,Category,Value,Year,SurvivalRate
90 days,Deceased,Age,0-4,1996,81.6
90 days,Deceased,Age,0-4,1997,81.9
90 days,Deceased,Age,0-4,1998,96.7
90 days,Deceased,Age,0-4,1999,90.4
90 days,Deceased,Age,0-4,2000,86.9
90 days,Deceased,Age,0-4,2001,97
90 days,Deceased,Age,0-4,2002,85.9
90 days,Deceased,Age,0-4,2003,97.1
90 days,Deceased,Age,0-4,2004,95.2
90 days,Deceased,Age,0-4,2005,94.3
90 days,Deceased,Age,0-4,2006,97.1
90 days,Deceased,Age,0-4,2007,92.8
90 days,Deceased,Age,0-4,2008,91.6
90 days,Deceased,Age,0-4,2009,91.9
90 days,Deceased,Age,0-4,2010,100
90 days,Deceased,Age,0-4,2011,98.5
90 days,Deceased,Age,0-4,2012,95.1
90 days,Deceased,Age,05-9,1996,91.5
90 days,Deceased,Age,05-9,1997,96.8
90 days,Deceased,Age,05-9,1998,89.3
90 days,Deceased,Age,05-9,1999,86
90 days,Deceased,Age,05-9,2000,91.2
90 days,Deceased,Age,05-9,2001,98.2
90 days,Deceased,Age,05-9,2002,94.3
90 days,Deceased,Age,05-9,2003,95.6
90 days,Deceased,Age,05-9,2004,93
90 days,Deceased,Age,05-9,2005,97.3
90 days,Deceased,Age,05-9,2006,95.1
90 days,Deceased,Age,05-9,2007,93.5
90 days,Deceased,Age,05-9,2008,95.3
90 days,Deceased,Age,05-9,2009,95.3
90 days,Deceased,Age,05-9,2010,96.5
90 days,Deceased,Age,05-9,2011,98.6
90 days,Deceased,Age,05-9,2012,95.4
90 days,Deceased,Age,10-13,1996,90.6
90 days,Deceased,Age,10-13,1997,93.9
90 days,Deceased,Age,10-13,1998,91.7
90 days,Deceased,Age,10-13,1999,94.4
90 days,Deceased,Age,10-13,2000,98.5
90 days,Deceased,Age,10-13,2001,92.1
90 days,Deceased,Age,10-13,2002,96
90 days,Deceased,Age,10-13,2003,95.9
90 days,Deceased,Age,10-13,2004,98.9
90 days,Deceased,Age,10-13,2005,92.7
90 days,Deceased,Age,10-13,2006,95.1
90 days,Deceased,Age,10-13,2007,95.3
90 days,Deceased,Age,10-13,2008,97.1
90 days,Deceased,Age,10-13,2009,99
90 days,Deceased,Age,10-13,2010,95.2
90 days,Deceased,Age,10-13,2011,96.1
90 days,Deceased,Age,10-13,2012,95.9
90 days,Deceased,Age,14-17,1996,92.3
90 days,Deceased,Age,14-17,1997,95.1
90 days,Deceased,Age,14-17,1998,91
90 days,Deceased,Age,14-17,1999,91.7
90 days,Deceased,Age,14-17,2000,94.1
90 days,Deceased,Age,14-17,2001,96.1
90 days,Deceased,Age,14-17,2002,97.3
90 days,Deceased,Age,14-17,2003,95.6
90 days,Deceased,Age,14-17,2004,96.4
90 days,Deceased,Age,14-17,2005,97.1
90 days,Deceased,Age,14-17,2006,96.8
90 days,Deceased,Age,14-17,2007,97.6
90 days,Deceased,Age,14-17,2008,96.6
90 days,Deceased,Age,14-17,2009,96.9
90 days,Deceased,Age,14-17,2010,97.6
90 days,Deceased,Age,14-17,2011,98.2
90 days,Deceased,Age,14-17,2012,98.5
90 days,Deceased,Age,18-21,1996,88.3
90 days,Deceased,Age,18-21,1997,91
90 days,Deceased,Age,18-21,1998,88.2
90 days,Deceased,Age,18-21,1999,92.1
90 days,Deceased,Age,18-21,2000,89.7
90 days,Deceased,Age,18-21,2001,92.2
90 days,Deceased,Age,18-21,2002,94.6
90 days,Deceased,Age,18-21,2003,93.6
90 days,Deceased,Age,18-21,2004,96.1
90 days,Deceased,Age,18-21,2005,95.2
90 days,Deceased,Age,18-21,2006,94.4
90 days,Deceased,Age,18-21,2007,93.9
90 days,Deceased,Age,18-21,2008,95
90 days,Deceased,Age,18-21,2009,93.4
90 days,Deceased,Age,18-21,2010,94.3
90 days,Deceased,Age,18-21,2011,97.2
90 days,Deceased,Age,18-21,2012,97.1
90 days,Deceased,Age,22-24,1996,89.1
90 days,Deceased,Age,22-24,1997,92.7
90 days,Deceased,Age,22-24,1998,90.8
90 days,Deceased,Age,22-24,1999,92.9
90 days,Deceased,Age,22-24,2000,92.8
90 days,Deceased,Age,22-24,2001,97.3
90 days,Deceased,Age,22-24,2002,96.3
90 days,Deceased,Age,22-24,2003,94.2
90 days,Deceased,Age,22-24,2004,95.8
90 days,Deceased,Age,22-24,2005,93.2
90 days,Deceased,Age,22-24,2006,95
90 days,Deceased,Age,22-24,2007,96.4
90 days,Deceased,Age,22-24,2008,94.2
90 days,Deceased,Age,22-24,2009,94.5
90 days,Deceased,Age,22-24,2010,96.9
90 days,Deceased,Age,22-24,2011,97.2
90 days,Deceased,Age,22-24,2012,97.5
90 days,Deceased,Age,25-29,1996,90.5
90 days,Deceased,Age,25-29,1997,93.9
90 days,Deceased,Age,25-29,1998,92.1
90 days,Deceased,Age,25-29,1999,93.2
90 days,Deceased,Age,25-29,2000,91.6
90 days,Deceased,Age,25-29,2001,91.2
90 days,Deceased,Age,25-29,2002,92.5
90 days,Deceased,Age,25-29,2003,92.5
90 days,Deceased,Age,25-29,2004,94.5
90 days,Deceased,Age,25-29,2005,93
90 days,Deceased,Age,25-29,2006,95.9
90 days,Deceased,Age,25-29,2007,94.2
90 days,Deceased,Age,25-29,2008,95.5
90 days,Deceased,Age,25-29,2009,96.9
90 days,Deceased,Age,25-29,2010,95.5
90 days,Deceased,Age,25-29,2011,96.1
90 days,Deceased,Age,25-29,2012,95.9
90 days,Deceased,Age,30-34,1996,90.7
90 days,Deceased,Age,30-34,1997,91.9
90 days,Deceased,Age,30-34,1998,93.1
90 days,Deceased,Age,30-34,1999,92
90 days,Deceased,Age,30-34,2000,92.9
90 days,Deceased,Age,30-34,2001,92.7
90 days,Deceased,Age,30-34,2002,92.7
90 days,Deceased,Age,30-34,2003,92.5
90 days,Deceased,Age,30-34,2004,92.8
90 days,Deceased,Age,30-34,2005,93.3
90 days,Deceased,Age,30-34,2006,93.7
90 days,Deceased,Age,30-34,2007,94.8
90 days,Deceased,Age,30-34,2008,94.5
90 days,Deceased,Age,30-34,2009,93.6
90 days,Deceased,Age,30-34,2010,95.4
90 days,Deceased,Age,30-34,2011,96.7
90 days,Deceased,Age,30-34,2012,95.6
90 days,Deceased,Age,35-39,1996,92
90 days,Deceased,Age,35-39,1997,90.6
90 days,Deceased,Age,35-39,1998,92
90 days,Deceased,Age,35-39,1999,90.1
90 days,Deceased,Age,35-39,2000,93.5
90 days,Deceased,Age,35-39,2001,93.5
90 days,Deceased,Age,35-39,2002,92.2
90 days,Deceased,Age,35-39,2003,91.9
90 days,Deceased,Age,35-39,2004,93.8
90 days,Deceased,Age,35-39,2005,94.4
90 days,Deceased,Age,35-39,2006,95.4
90 days,Deceased,Age,35-39,2007,95.9
90 days,Deceased,Age,35-39,2008,95.6
90 days,Deceased,Age,35-39,2009,94.5
90 days,Deceased,Age,35-39,2010,94
90 days,Deceased,Age,35-39,2011,95.5
90 days,Deceased,Age,35-39,2012,96.5
90 days,Deceased,Age,40-44,1996,91.6
90 days,Deceased,Age,40-44,1997,92.2
90 days,Deceased,Age,40-44,1998,93.9
90 days,Deceased,Age,40-44,1999,92.9
90 days,Deceased,Age,40-44,2000,92.1
90 days,Deceased,Age,40-44,2001,92.7
90 days,Deceased,Age,40-44,2002,93.9
90 days,Deceased,Age,40-44,2003,94.6
90 days,Deceased,Age,40-44,2004,93.9
90 days,Deceased,Age,40-44,2005,94
90 days,Deceased,Age,40-44,2006,94.6
90 days,Deceased,Age,40-44,2007,94.5
90 days,Deceased,Age,40-44,2008,95.2
90 days,Deceased,Age,40-44,2009,94.3
90 days,Deceased,Age,40-44,2010,96.3
90 days,Deceased,Age,40-44,2011,96.7
90 days,Deceased,Age,40-44,2012,96.2
90 days,Deceased,Age,45-49,1996,90.4
90 days,Deceased,Age,45-49,1997,92.9
90 days,Deceased,Age,45-49,1998,91.5
90 days,Deceased,Age,45-49,1999,93.4
90 days,Deceased,Age,45-49,2000,92.6
90 days,Deceased,Age,45-49,2001,93.9
90 days,Deceased,Age,45-49,2002,92.6
90 days,Deceased,Age,45-49,2003,94.5
90 days,Deceased,Age,45-49,2004,93.5
90 days,Deceased,Age,45-49,2005,93.4
90 days,Deceased,Age,45-49,2006,93.3
90 days,Deceased,Age,45-49,2007,95.3
90 days,Deceased,Age,45-49,2008,95.5
90 days,Deceased,Age,45-49,2009,94.9
90 days,Deceased,Age,45-49,2010,94.5
90 days,Deceased,Age,45-49,2011,95.8
90 days,Deceased,Age,45-49,2012,96.5
90 days,Deceased,Age,50-54,1996,90.4
90 days,Deceased,Age,50-54,1997,90.6
90 days,Deceased,Age,50-54,1998,91.5
90 days,Deceased,Age,50-54,1999,91.4
90 days,Deceased,Age,50-54,2000,93.6
90 days,Deceased,Age,50-54,2001,92.2
90 days,Deceased,Age,50-54,2002,92.6
90 days,Deceased,Age,50-54,2003,93.3
90 days,Deceased,Age,50-54,2004,93.2
90 days,Deceased,Age,50-54,2005,93.7
90 days,Deceased,Age,50-54,2006,95
90 days,Deceased,Age,50-54,2007,94.8
90 days,Deceased,Age,50-54,2008,94.7
90 days,Deceased,Age,50-54,2009,95.4
90 days,Deceased,Age,50-54,2010,95.5
90 days,Deceased,Age,50-54,2011,95.6
90 days,Deceased,Age,50-54,2012,95.9
90 days,Deceased,Age,55-59,1996,90.2
90 days,Deceased,Age,55-59,1997,91.7
90 days,Deceased,Age,55-59,1998,91.1
90 days,Deceased,Age,55-59,1999,91.4
90 days,Deceased,Age,55-59,2000,90.9
90 days,Deceased,Age,55-59,2001,93.4
90 days,Deceased,Age,55-59,2002,91.5
90 days,Deceased,Age,55-59,2003,93
90 days,Deceased,Age,55-59,2004,92.6
90 days,Deceased,Age,55-59,2005,93.1
90 days,Deceased,Age,55-59,2006,93.5
90 days,Deceased,Age,55-59,2007,94.4
90 days,Deceased,Age,55-59,2008,92.8
90 days,Deceased,Age,55-59,2009,95.8
90 days,Deceased,Age,55-59,2010,94.3
90 days,Deceased,Age,55-59,2011,95.3
90 days,Deceased,Age,55-59,2012,95.3
90 days,Deceased,Age,60-64,1996,91.4
90 days,Deceased,Age,60-64,1997,93.4
90 days,Deceased,Age,60-64,1998,92.4
90 days,Deceased,Age,60-64,1999,89.9
90 days,Deceased,Age,60-64,2000,90.5
90 days,Deceased,Age,60-64,2001,92.1
90 days,Deceased,Age,60-64,2002,91.5
90 days,Deceased,Age,60-64,2003,90.8
90 days,Deceased,Age,60-64,2004,93
90 days,Deceased,Age,60-64,2005,94.3
90 days,Deceased,Age,60-64,2006,92.6
90 days,Deceased,Age,60-64,2007,93.9
90 days,Deceased,Age,60-64,2008,93.9
90 days,Deceased,Age,60-64,2009,94.2
90 days,Deceased,Age,60-64,2010,94.4
90 days,Deceased,Age,60-64,2011,94.6
90 days,Deceased,Age,60-64,2012,96.1
90 days,Deceased,Age,65-69,1996,87.8
90 days,Deceased,Age,65-69,1997,89.3
90 days,Deceased,Age,65-69,1998,91.4
90 days,Deceased,Age,65-69,1999,90.9
90 days,Deceased,Age,65-69,2000,88.4
90 days,Deceased,Age,65-69,2001,89
90 days,Deceased,Age,65-69,2002,91.7
90 days,Deceased,Age,65-69,2003,92.4
90 days,Deceased,Age,65-69,2004,91.8
90 days,Deceased,Age,65-69,2005,91.1
90 days,Deceased,Age,65-69,2006,93
90 days,Deceased,Age,65-69,2007,93.9
90 days,Deceased,Age,65-69,2008,95.1
90 days,Deceased,Age,65-69,2009,93.2
90 days,Deceased,Age,65-69,2010,94.8
90 days,Deceased,Age,65-69,2011,94.6
90 days,Deceased,Age,65-69,2012,94.5
90 days,Deceased,Age,70-74,1996,87.8
90 days,Deceased,Age,70-74,1997,92.1
90 days,Deceased,Age,70-74,1998,90.1
90 days,Deceased,Age,70-74,1999,88.1
90 days,Deceased,Age,70-74,2000,91.4
90 days,Deceased,Age,70-74,2001,91.4
90 days,Deceased,Age,70-74,2002,90.2
90 days,Deceased,Age,70-74,2003,92.1
90 days,Deceased,Age,70-74,2004,94
90 days,Deceased,Age,70-74,2005,93.4
90 days,Deceased,Age,70-74,2006,91.7
90 days,Deceased,Age,70-74,2007,92.4
90 days,Deceased,Age,70-74,2008,93.1
90 days,Deceased,Age,70-74,2009,94.3
90 days,Deceased,Age,70-74,2010,92.9
90 days,Deceased,Age,70-74,2011,93.9
90 days,Deceased,Age,70-74,2012,94
90 days,Deceased,Age,75-79,1996,93.1
90 days,Deceased,Age,75-79,1997,81.3
90 days,Deceased,Age,75-79,1998,83.1
90 days,Deceased,Age,75-79,1999,81.9
90 days,Deceased,Age,75-79,2000,90.6
90 days,Deceased,Age,75-79,2001,87.4
90 days,Deceased,Age,75-79,2002,88.8
90 days,Deceased,Age,75-79,2003,90.6
90 days,Deceased,Age,75-79,2004,88.4
90 days,Deceased,Age,75-79,2005,89.8
90 days,Deceased,Age,75-79,2006,90.1
90 days,Deceased,Age,75-79,2007,92.5
90 days,Deceased,Age,75-79,2008,92.3
90 days,Deceased,Age,75-79,2009,93.7
90 days,Deceased,Age,75-79,2010,91.5
90 days,Deceased,Age,75-79,2011,94.5
90 days,Deceased,Age,75-79,2012,95.7
90 days,Deceased,Age,80-84,2003,93.6
90 days,Deceased,Age,80-84,2004,94.6
90 days,Deceased,Age,80-84,2005,96.8
90 days,Deceased,Age,80-84,2006,88.7
90 days,Deceased,Age,80-84,2007,83.6
90 days,Deceased,Age,80-84,2008,96.2
90 days,Deceased,Age,80-84,2009,94.4
90 days,Deceased,Age,80-84,2010,89
90 days,Deceased,Age,80-84,2011,100
90 days,Deceased,Age,80-84,2012,94
1 year,Deceased,Age,0-4,1996,79.3
1 year,Deceased,Age,0-4,1997,79.3
1 year,Deceased,Age,0-4,1998,93.4
1 year,Deceased,Age,0-4,1999,83.2
1 year,Deceased,Age,0-4,2000,77.1
1 year,Deceased,Age,0-4,2001,94
1 year,Deceased,Age,0-4,2002,80.3
1 year,Deceased,Age,0-4,2003,91.3
1 year,Deceased,Age,0-4,2004,88
1 year,Deceased,Age,0-4,2005,88.6
1 year,Deceased,Age,0-4,2006,92.7
1 year,Deceased,Age,0-4,2007,89.9
1 year,Deceased,Age,0-4,2008,89.9
1 year,Deceased,Age,0-4,2009,89.6
1 year,Deceased,Age,0-4,2010,95.7
1 year,Deceased,Age,0-4,2011,97.1
1 year,Deceased,Age,0-4,2012,91.4
1 year,Deceased,Age,9-May,1996,87.3
1 year,Deceased,Age,9-May,1997,93.6
1 year,Deceased,Age,9-May,1998,87.8
1 year,Deceased,Age,9-May,1999,80.6
1 year,Deceased,Age,9-May,2000,89
1 year,Deceased,Age,9-May,2001,96.5
1 year,Deceased,Age,9-May,2002,89.9
1 year,Deceased,Age,9-May,2003,89.8
1 year,Deceased,Age,9-May,2004,89.6
1 year,Deceased,Age,9-May,2005,94.6
1 year,Deceased,Age,9-May,2006,92.7
1 year,Deceased,Age,9-May,2007,89.5
1 year,Deceased,Age,9-May,2008,92.9
1 year,Deceased,Age,9-May,2009,91.7
1 year,Deceased,Age,9-May,2010,95.4
1 year,Deceased,Age,9-May,2011,98.6
1 year,Deceased,Age,9-May,2012,95.4
1 year,Deceased,Age,13-Oct,1996,87.9
1 year,Deceased,Age,13-Oct,1997,89.1
1 year,Deceased,Age,13-Oct,1998,89
1 year,Deceased,Age,13-Oct,1999,92.2
1 year,Deceased,Age,13-Oct,2000,97.1
1 year,Deceased,Age,13-Oct,2001,88.1
1 year,Deceased,Age,13-Oct,2002,92.1
1 year,Deceased,Age,13-Oct,2003,90.8
1 year,Deceased,Age,13-Oct,2004,94.4
1 year,Deceased,Age,13-Oct,2005,86.3
1 year,Deceased,Age,13-Oct,2006,90.9
1 year,Deceased,Age,13-Oct,2007,94.3
1 year,Deceased,Age,13-Oct,2008,94.1
1 year,Deceased,Age,13-Oct,2009,99
1 year,Deceased,Age,13-Oct,2010,92.3
1 year,Deceased,Age,13-Oct,2011,96.1
1 year,Deceased,Age,13-Oct,2012,95.9
1 year,Deceased,Age,13-Oct,1996,86.7
1 year,Deceased,Age,13-Oct,1997,91.9
1 year,Deceased,Age,13-Oct,1998,83.7
1 year,Deceased,Age,13-Oct,1999,85.7
1 year,Deceased,Age,13-Oct,2000,91.2
1 year,Deceased,Age,13-Oct,2001,91.4
1 year,Deceased,Age,13-Oct,2002,94.6
1 year,Deceased,Age,13-Oct,2003,91.3
1 year,Deceased,Age,13-Oct,2004,94.4
1 year,Deceased,Age,13-Oct,2005,91.7
1 year,Deceased,Age,13-Oct,2006,91.4
1 year,Deceased,Age,13-Oct,2007,96
1 year,Deceased,Age,13-Oct,2008,93.3
1 year,Deceased,Age,13-Oct,2009,93.5
1 year,Deceased,Age,13-Oct,2010,95.8
1 year,Deceased,Age,13-Oct,2011,95.9
1 year,Deceased,Age,13-Oct,2012,98
1 year,Deceased,Age,18-21,1996,82.4
1 year,Deceased,Age,18-21,1997,86
1 year,Deceased,Age,18-21,1998,81.2
1 year,Deceased,Age,18-21,1999,86.6
1 year,Deceased,Age,18-21,2000,84.2
1 year,Deceased,Age,18-21,2001,86.6
1 year,Deceased,Age,18-21,2002,91.5
1 year,Deceased,Age,18-21,2003,86.4
1 year,Deceased,Age,18-21,2004,86.9
1 year,Deceased,Age,18-21,2005,91.1
1 year,Deceased,Age,18-21,2006,90.6
1 year,Deceased,Age,18-21,2007,88.8
1 year,Deceased,Age,18-21,2008,86.5
1 year,Deceased,Age,18-21,2009,90.9
1 year,Deceased,Age,18-21,2010,90.7
1 year,Deceased,Age,18-21,2011,93.6
1 year,Deceased,Age,18-21,2012,92.7
1 year,Deceased,Age,22-24,1996,86.4
1 year,Deceased,Age,22-24,1997,87.9
1 year,Deceased,Age,22-24,1998,87.6
1 year,Deceased,Age,22-24,1999,88.7
1 year,Deceased,Age,22-24,2000,87.3
1 year,Deceased,Age,22-24,2001,93.3
1 year,Deceased,Age,22-24,2002,92.5
1 year,Deceased,Age,22-24,2003,88.4
1 year,Deceased,Age,22-24,2004,92.5
1 year,Deceased,Age,22-24,2005,90.5
1 year,Deceased,Age,22-24,2006,91.5
1 year,Deceased,Age,22-24,2007,92.1
1 year,Deceased,Age,22-24,2008,91.6
1 year,Deceased,Age,22-24,2009,90.6
1 year,Deceased,Age,22-24,2010,93.7
1 year,Deceased,Age,22-24,2011,93.6
1 year,Deceased,Age,22-24,2012,95.1
1 year,Deceased,Age,25-29,1996,86.4
1 year,Deceased,Age,25-29,1997,89.4
1 year,Deceased,Age,25-29,1998,89.4
1 year,Deceased,Age,25-29,1999,89.3
1 year,Deceased,Age,25-29,2000,87.6
1 year,Deceased,Age,25-29,2001,88.4
1 year,Deceased,Age,25-29,2002,87.4
1 year,Deceased,Age,25-29,2003,89.3
1 year,Deceased,Age,25-29,2004,92.1
1 year,Deceased,Age,25-29,2005,89.5
1 year,Deceased,Age,25-29,2006,92.6
1 year,Deceased,Age,25-29,2007,90.2
1 year,Deceased,Age,25-29,2008,91.2
1 year,Deceased,Age,25-29,2009,94.4
1 year,Deceased,Age,25-29,2010,92.1
1 year,Deceased,Age,25-29,2011,92.8
1 year,Deceased,Age,25-29,2012,91.4
1 year,Deceased,Age,30-34,1996,85.9
